# meep=1.28.0 res=30.0 cols=t,Ez1,Ez2 dt=4.004 c_err=0.0011 echo=0.0000
6.450000000000000178e+00,-2.649347602556210469e-03,-3.996379077733713269e-06
6.500000000000000000e+00,-3.044034095708003304e-03,-4.890899111767531175e-06
6.550000000000000711e+00,-3.395615160490049467e-03,-6.044670299465095476e-06
6.600000000000000533e+00,-3.686940995381983530e-03,-7.092074917215050442e-06
6.650000000000000355e+00,-3.900942088530965236e-03,-7.775931538454276695e-06
6.700000000000000178e+00,-4.020437606778960379e-03,-8.321447951186205420e-06
6.750000000000000000e+00,-4.029652277068865134e-03,-8.981042189920987934e-06
6.800000000000000711e+00,-3.913788457623122198e-03,-9.468462411131834089e-06
6.850000000000000533e+00,-3.660917770496704277e-03,-9.388456241983777058e-06
6.900000000000000355e+00,-3.261326865908837844e-03,-8.919750006829781259e-06
6.950000000000000178e+00,-2.709623616177735984e-03,-8.334888508503457590e-06
7.000000000000000000e+00,-2.003851169532283680e-03,-7.289429877083236124e-06
7.050000000000000711e+00,-1.147625369113901544e-03,-5.467597515148929941e-06
7.100000000000000533e+00,-1.489978583222019383e-04,-3.208278918086389974e-06
7.150000000000000355e+00,9.775662249541076671e-04,-6.297910561012150862e-07
7.200000000000000178e+00,2.212602429193103078e-03,2.708793866903518391e-06
7.250000000000000000e+00,3.530009476197538618e-03,6.728024933635541867e-06
7.300000000000000711e+00,4.898762638347336877e-03,1.098769060833278535e-05
7.350000000000000533e+00,6.281767122514561597e-03,1.572179021285545462e-05
7.400000000000000355e+00,7.637873314918382055e-03,2.105081448336003244e-05
7.450000000000000178e+00,8.921323327333113840e-03,2.640921526494918747e-05
7.500000000000000000e+00,1.008403598093712134e-02,3.174894615252911516e-05
7.550000000000000711e+00,1.107568414535140162e-02,3.724015127283188283e-05
7.600000000000000533e+00,1.184616930121115165e-02,4.227101202633061733e-05
7.650000000000000355e+00,1.234629135443583714e-02,4.657731744372736271e-05
7.700000000000000178e+00,1.253027673685253723e-02,5.029853430185473868e-05
7.750000000000000000e+00,1.235692249765275863e-02,5.279165355233474469e-05
7.800000000000000711e+00,1.179198611526309851e-02,5.369772196823126298e-05
7.850000000000000533e+00,1.080961144815571762e-02,5.313273931078057647e-05
7.900000000000000355e+00,9.394342396752184896e-03,5.044738941563874611e-05
7.950000000000000178e+00,7.542580653762241509e-03,4.534672066013991699e-05
8.000000000000000000e+00,5.263959309893095039e-03,3.798722206174140513e-05
8.050000000000000711e+00,2.582552107862717133e-03,2.778818308240875313e-05
8.099999999999999645e+00,-4.626535427120490648e-04,1.470927414013584856e-05
8.150000000000000355e+00,-3.817069921498079423e-03,-9.732535013078958980e-07
8.200000000000001066e+00,-7.411157277421783277e-03,-1.963413331495729474e-05
8.250000000000000000e+00,-1.116048587379997112e-02,-4.087094953112201053e-05
8.300000000000000711e+00,-1.496764691326682092e-02,-6.423335811167593993e-05
8.349999999999999645e+00,-1.872319911161553913e-02,-8.970261582959282182e-05
8.400000000000000355e+00,-2.230886700989104243e-02,-1.163269474854295620e-04
8.450000000000001066e+00,-2.559938120160798816e-02,-1.434749340272757591e-04
