# meep=1.28.0 res=25.0 lam=1.55 f=6.0 y_focus=5.80 fwhm=0.625 dl=0.904 eff=0.420 cols=x_um,intensity
3.687500000000000000e+00,4.605285286699929183e-03
3.750000000000000000e+00,6.716673144514252389e-03
3.812500000000000000e+00,1.196937992142958936e-02
3.875000000000000000e+00,1.966545177789277843e-02
3.937500000000000000e+00,2.871965354618905356e-02
4.000000000000000000e+00,3.837024295873203705e-02
4.062500000000000000e+00,4.697248147960875891e-02
4.125000000000000000e+00,5.436339025065679842e-02
4.187500000000000000e+00,5.945240970784876344e-02
4.250000000000000000e+00,6.233689884956419847e-02
4.312500000000000000e+00,6.296584139652311451e-02
4.375000000000000000e+00,6.143088140447858225e-02
4.437500000000000000e+00,5.843300207513854594e-02
4.500000000000000000e+00,5.381590002668701356e-02
4.562500000000000000e+00,4.869383570043491621e-02
4.625000000000000000e+00,4.303161943272188622e-02
4.687500000000000000e+00,3.784477323504814583e-02
4.750000000000000000e+00,3.321119920294647587e-02
4.812500000000000000e+00,2.947985323136486507e-02
4.875000000000000000e+00,2.692321777237804623e-02
4.937500000000000000e+00,2.547557132403419078e-02
5.000000000000000000e+00,2.549022010640120128e-02
5.062500000000000000e+00,2.636497267539541708e-02
5.125000000000000000e+00,2.832254332551867315e-02
5.187500000000000000e+00,3.080113492708634951e-02
5.250000000000000000e+00,3.380367191948336486e-02
5.312500000000000000e+00,3.704807238064227598e-02
5.375000000000000000e+00,4.012362887603107553e-02
5.437500000000000000e+00,4.280853091453731135e-02
5.500000000000000000e+00,4.424303212359682186e-02
5.562500000000000000e+00,4.449926742819469705e-02
5.625000000000000000e+00,4.292821447029938897e-02
5.687500000000000000e+00,3.988073386159619871e-02
5.750000000000000000e+00,3.515950535708547292e-02
5.812500000000000000e+00,2.924186363898322039e-02
5.875000000000000000e+00,2.276320383746347972e-02
5.937500000000000000e+00,1.625747070194887359e-02
6.000000000000000000e+00,1.053543260573871002e-02
6.062500000000000000e+00,6.403771269173496802e-03
6.125000000000000000e+00,4.489958259951103668e-03
6.187500000000000000e+00,5.408141246998009709e-03
6.250000000000000000e+00,9.449818454425136863e-03
6.312500000000000000e+00,1.675874235975689103e-02
6.375000000000000000e+00,2.716886722724350112e-02
6.437500000000000000e+00,4.022723374078804315e-02
6.500000000000000000e+00,5.514965829382379586e-02
6.562500000000000000e+00,7.123154539885076519e-02
6.625000000000000000e+00,8.716547965821055954e-02
6.687500000000000000e+00,1.022199176791288855e-01
6.750000000000000000e+00,1.151778123026153261e-01
6.812500000000000000e+00,1.252989026789288196e-01
6.875000000000000000e+00,1.322512583507243489e-01
6.937500000000000000e+00,1.353517963136967595e-01
7.000000000000000000e+00,1.352743237309567415e-01
7.062500000000000000e+00,1.308759742654404812e-01
7.125000000000000000e+00,1.238571211276100481e-01
7.187500000000000000e+00,1.138898708110772234e-01
7.250000000000000000e+00,1.022751100232569821e-01
7.312500000000000000e+00,8.995339471478150384e-02
7.375000000000000000e+00,7.767588245149885384e-02
7.437500000000000000e+00,6.653728977491527030e-02
7.500000000000000000e+00,5.679523076984355906e-02
7.562500000000000000e+00,4.932461885019861353e-02
7.625000000000000000e+00,4.348081029403012832e-02
7.687500000000000000e+00,3.978540846680221621e-02
7.750000000000000000e+00,3.802050082553443816e-02
7.812500000000000000e+00,3.824032405115049965e-02
