# meep=1.28.0 res=30.0 lam=1.55 cols=d_um,T_rel_substrate,phase_rad circular_cover=6.20rad
5.600000000000000533e-01,8.069756927363950227e-01,2.701448224134954668e-01
5.640000000000000568e-01,8.961274235309891756e-01,3.828668886553607820e-01
5.649999999999999467e-01,8.887591272178564372e-01,4.153432158384491313e-01
5.680000000000000604e-01,8.358942970270276662e-01,5.042031004807888683e-01
5.699999999999999512e-01,7.664120368508176018e-01,5.474292397172944025e-01
5.720000000000000639e-01,6.897548669778866826e-01,5.758166041893956200e-01
5.749999999999999556e-01,5.467478862770335235e-01,5.641344059353863294e-01
5.760000000000000675e-01,5.072088715972431494e-01,5.402261428054985215e-01
5.799999999999999600e-01,4.647390194005457387e-01,3.744460626029660344e-01
5.800000000000000711e-01,4.647390194005517894e-01,3.744460626029674777e-01
5.840000000000000746e-01,6.022916451778796976e-01,2.525126909514685547e-01
5.880000000000000782e-01,8.088651095468635255e-01,2.581022424075284372e-01
5.920000000000000817e-01,9.786449998913673287e-01,3.445172091056538100e-01
5.960000000000000853e-01,1.048032702009267236e+00,4.487884344847792861e-01
6.000000000000000888e-01,1.032262662057729985e+00,5.973890943048045798e-01
6.040000000000000924e-01,9.851178565237360685e-01,6.396916530193056394e-01
6.080000000000000959e-01,9.663818820484832983e-01,6.562756284135308205e-01
6.120000000000000995e-01,1.031377877610855531e+00,6.980140226408230175e-01
6.160000000000001030e-01,1.037727865252830117e+00,7.560155572043806282e-01
6.200000000000001066e-01,1.021677178566554822e+00,8.103544860970867125e-01
6.240000000000001101e-01,9.994290834496848408e-01,8.632704024079187466e-01
6.280000000000001137e-01,9.393544552067025766e-01,9.030794761828608852e-01
6.320000000000001172e-01,9.354231872193181641e-01,9.357283289301583373e-01
6.360000000000001208e-01,9.450936825834891364e-01,9.742679411304091541e-01
6.400000000000001243e-01,9.385637601466806368e-01,1.016159708286992203e+00
6.440000000000001279e-01,9.235807418024121196e-01,1.055527398619571233e+00
6.480000000000001315e-01,8.982586676346918653e-01,1.092489683611960416e+00
6.520000000000001350e-01,8.875393856716790042e-01,1.127243485501807196e+00
6.560000000000001386e-01,8.808797244679646976e-01,1.170042454384980557e+00
6.600000000000001421e-01,8.475023950576884291e-01,1.218321626007478065e+00
6.640000000000001457e-01,7.895596395160184855e-01,1.266956453920523584e+00
6.680000000000001492e-01,6.298901674211918600e-01,1.293135236421507628e+00
6.720000000000001528e-01,6.680705175827678088e-01,1.305189588481713070e+00
6.760000000000001563e-01,6.931407148043917665e-01,1.361930755213301314e+00
6.800000000000000488e-01,6.784070970624024310e-01,1.437120564744849283e+00
